Authors;Articles;Articles Fractionalized
YARAR-FISHER C;2;0,34
YE H;2;0,23
YE S;2;0,28
YE Y;2;0,39
YEH Y;2;0,31
YI X;2;0,24
YI Z;2;0,18
YIN C;2;0,22
YIN J;2;0,1
YU Q;2;0,22
YU R;2;0,25
YUAN J;2;0,18
YUAN X;2;0,15
ZAMA D;2;0,16
ZENG W;2;0,14
ZHAN X;2;0,2
ZHANG R;2;0,23
ZHAO K;2;0,19
ZHAO Q;2;0,21
ZHAO S;2;0,22
ZHAO W;2;0,22
ZHENG J;2;0,28
ZHENG T;2;0,18
ZHENG Z;2;0,08
ZHONG C;2;0,26
ZHONG H;2;0,18
ZHONG X;2;0,25
ZHOU C;2;0,26
ZHOU L;2;0,14
ZHOU Q;2;0,25
ZHOU W;2;0,15
ZHOU X;2;0,19
ZHU C;2;0,27
ZHU D;2;0,15
ZHU F;2;0,19
ZOROV D;2;0,21
ZOU Z;2;0,2
ZUCKER J;2;0,3
ZÁRATE-BLADÉS C;2;0,28
ŠMAJS D;2;0,19
AAKKO J;1;0,11
AANES H;1;0,11
ABASIJIANG A;1;0,17
ABBASPOUR A;1;0,17
ABBOTT D;1;0,14
ABD-GHANI F;1;0,25
ABDEL-HAMID A;1;0,07
ABDEL-RAHMAN L;1;0,5
ABDELSALAM N;1;0,33
ABDULLA O;1;0,13
ABDULLAH M;1;0,17
ABDURIYIM S;1;0,05
ABECIA L;1;0,05
ABOU H M;1;0,07
ABRAHAM P;1;0,02
ABRAMOV I;1;0,05
ABU Y;1;0,14
ABUD-ARCHILA M;1;0,11
ABUDAYYEH R;1;0,33
ACFORD-PALMER H;1;0,08
ACHARYA C;1;0,08
ACHARYA N;1;0,2
ACKERMANN G;1;0,02
ACUÑA I;1;0,11
ADAK A;1;0,5
ADAMS J;1;0,13
ADISETIYO H;1;0,08
ADJOU K;1;0,13
ADRIAENSSENS E;1;0,05
ADRIEN P;1;0,08
ADRIOUCH S;1;0,05
AE R;1;0,07
AEBI S;1;0,14
AGAMENNONE V;1;0,06
AGARWAL P;1;0,14
AGBAVOR F;1;0,17
AGHAEEPOUR N;1;0,08
AGHDAEI H;1;0,17
AGRAWAL A;1;0,2
AGUSTÍ A;1;0,03
AHLUWALIA B;1;0,1
AHMAD R;1;0,2
AHMADI B S;1;0,11
AHMED T;1;0,07
AHMER B;1;0,08
AHN J;1;0,13
AHO V;1;0,25
AINIWAER A;1;0,14
AINONEN S;1;0,13
AINSWORTH H;1;0,11
AIZPURUA O;1;0,33
AJEEB T;1;0,25
AKANA R;1;0,11
AKKIZ H;1;0,2
AKSESHINA M;1;0,06
AKUNE Y;1;0,08
AL I N;1;0,11
AL-GHALITH G;1;0,25
AL-SHAKHSHIR H;1;0,2
ALBAKRY S;1;0,05
ALBERDI A;1;0,33
ALBERTINI M;1;0,11
ALCAMÍ J;1;0,13
ALCANTARA C;1;0,25
ALCARAZ L;1;0,07
ALCON-GINER C;1;0,08
ALDROVANDI G;1;0,08
ALEKSEEVA M;1;0,25
ALEKSEYENKO A;1;0,33
ALETI G;1;0,09
ALEXANDER J;1;0,04
ALEXANDER T;1;0,2
ALEXANDROV P;1;0,25
ALGHETAA H;1;0,13
ALHARFI S;1;0,2
ALHOZALI A;1;0,25
ALI A;1;0,13
ALI F;1;0,06
ALI J;1;0,13
ALI M;1;0,13
ALIKINA T;1;0,17
ALILI R;1;0,05
ALKAN Z;1;0,08
ALKHAMMASH A;1;0,25
ALLABAND C;1;0,08
ALLALI I;1;0,11
ALLEN I;1;0,17
ALLEN-VERCOE E;1;0,06
ALLERS K;1;0,1
ALMEIDA A;1;0,06
ALMONACID D;1;0,11
ALSHEHRI W;1;0,25
ALTINDIS E;1;0,07
ALTULEA D;1;0,06
ALUTHGE N;1;0,09
ALVA S;1;0,2
ALVAREZ R;1;0,09
ALVAREZ-SILVA C;1;0,07
ALVES R;1;0,14
AMADOR-NOGUEZ D;1;0,14
AMANZADEH A;1;0,11
AMID C;1;0,03
AMIN M;1;0,2
AMIN N S;1;0,17
AMINI S;1;0,05
AMZAZI S;1;0,11
AN R;1;0,14
AN W;1;0,06
AN Y;1;0,08
ANAISSI A;1;0,08
ANAND S;1;0,25
ANANDACHAR M;1;0,14
ANANDH B P;1;0,33
ANANTHAKRISHNAN A;1;0,11
ANANTHARAMAN K;1;0,11
ANDERMANN T;1;0,17
ANDRADE J;1;0,07
ANDRASSY J;1;0,08
ANDREMONT A;1;0,09
ANDRES A;1;0,08
ANDREWS E;1;0,11
ANDRIANONIMIADANA L;1;0,05
